text,true_label,predicted_label
ÛÏ@MacDaddy_Leo: ?????? No Caption Needed ??. Freshman... http://t.co/k8ughv2aifÛmy nigga Stacey body bagging niggas! ????,1,0
Soultech - Collide (Club Mix) http://t.co/8xIxBsPOT8,0,1
when things become terrible more than the great Ethiopian famine...,0,1
@BenignoVito @LibertyBell1000 HILLARYMASS MURDERER.,0,1
Apollo Brown - Detonate (ft. M.O.P.) http://t.co/4BcQZqJRzn,0,1
.@robdelaney  Catastrophe is anything but! I literally have been unable to stop ejaculating.,1,0
Megadeth-Symphony of Destruction http://t.co/xzfxRgLAlp,0,1
Feel like I've got no control of anything that goes on in my life at the minute. #whirlwind #drained,1,0
Kosciusko police investigating pedestrian fatality hit by a train Thursday http://t.co/JILfbR0UfP,1,0
Captain Abbott must go down with LNP boat #refugees #christianvalues https://t.co/Kp5dpOaF58,0,1
Ain't no hoe in my blood,1,0
"survived the plague
floated the flood
just peeked our heads above the mud
no one's immune
deafening bells
my god will we survive ourselves?",0,1
Deaths 3 http://t.co/nApviyGKYK,0,1
IM TRAPPED IN THE DAMN GAS PUMP THERE ARE TWO SUVS ON EITHER SIDE FUCK YOU DICKHEADS,0,1
Tips to prevent basement leaks - Create control joints to eliminate random cracking. #homeimprovement #Flooding http://t.co/Kx8cU4s8T1,0,1
What the fuck was that. There was a loud bang and a flash of light outside. I'm pretty sure I'm not dead but what the hell??,0,1
Ignition Knock (Detonation) Sensor-Senso Standard KS94 http://t.co/IhphZCkm41 http://t.co/wuICdTTUhf,1,0
#RaheelSharif is manifesting how one RIGHT man at the helm can save a Sinking Ship engulfed in a Dark-Stormy-Tidal-Sea. Well Done.,1,0
FedEx no longer to transport bioterror germs in wake of anthrax lab mishaps http://t.co/MqbYrAvK6h,1,0
Gulfport Energy - All-In Realizations Fall Off A Cliff http://t.co/CjuiGhBxyn,0,1
"Here we go again. EBOLA! Run for your lives! aaarrrgghhh!

http://t.co/G2UIMBeKgE",1,0
#BreakingNews http://t.co/gAN14PW9TG FedEx no longer willing to transport research specimens of potential bioterÛ_ http://t.co/5n4hUsewLy,0,1
DAL News: Wednesday's injury report: RB Lance Dunbar injures ankle is listed as day-to-day http://t.co/Eujgu1HVVx,0,1
We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw,0,1
Check out my Lava lamp dude ???? http://t.co/To9ViqooFv,1,0
RT @AmznFavorites THE DEVEREAUX DISASTER. 'Exciting scifi #thriller...' http://t.co/Mw9amBgAfq #SciFi #Kindle,0,1
Our garbage truck really caught on fire lmfao.,0,1
the MOFO in DC will leave our military unarmed to be gunned down by terrorist &amp; a lot worseits not their sorry asses,0,1
#WakeUpFlorida... #Floridians more likely to be killed/injured by a #TrophyHunt killer's gun than by ISIS.  https://t.co/j5In8meXAJ,0,1
This just-married Turkish couple gave 4000 Syrian refugees an incredible gift http://t.co/ibeD3xG7fy Fed them instead of family &amp; friends.,1,0
"@JamesMelville Some old testimony of weapons used to promote conflicts
Tactics - corruption &amp; infiltration of groups
https://t.co/cyU8zxw1oH",0,1
åÈMGN-AFRICAå¨ pin:263789F4 åÈ Correction: Tent Collapse Story: Correction: Tent Collapse story åÈ http://t.co/fDJUYvZMrv @wizkidayo,0,1
I just made a weird high pitched noise and then I heard a siren ofnsixjks ??????,0,1
#Illinois: Emergency units simulate a chemical explosion at NU https://t.co/rd10EX6HvT via @sharethis #hazmat,1,0
US Navy Sidelines 3 Newest Subs - http://t.co/guvTIzyCHE: DefenseNews.comUS Navy Sidelines 3 Newest SubsD... http://t.co/SY2WhXT0K5 #navy,1,0
Police kill gunman at Nashville movie theatre - Times of India: Times of India Police killÛ_ http://t.co/K8BExkgwr2,1,0
Police expand search for missing pregnant woman in Beloeil: Police in Richelieu-Saint-Laurent are expanding th... http://t.co/hMuyzmv8qH,0,1
#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/8JcYXhq1AZ #prebreak #best,0,1
Saving the City in Old Town: The Proposed Demolition of 159 West Burton http://t.co/FJddx43Ewj @MessnerMatthew for @newcity,1,0
Hmm...this could be problem for some researchers: FedEx no longer to transport select agents http://t.co/9vIibxgjAV via @usatoday,1,0
@author_mike Amen today is the Day of Salvation. THX brother Mike for your great encouragement. - http://t.co/cybKsXHF7d Coming US Tsunami,1,0
Owner of Chicago-Area Gay Bar Admits to Arson Scheme http://t.co/UBFr1URAFc #LGBT | https://t.co/AlnV51d95x,0,1
http://t.co/MoA0q0AuFa Jacksonville family bands together as memorial is planned for toddler who ... - FloridaÛ_ http://t.co/NKOu7zWwRT,0,1
Please allow me to reiterate it's not the weapon it's the mindset of the individual! #professional #help! -LEGION! https://t.co/2lGTZkwMqW,1,0
The ol' meltdown victory for the Mets.,1,0
Caution: breathing may be hazardous to your health.,1,0
On the sneak America has us spoiled. A natural disaster will humble niggas.,1,0
Û÷RansomwareÛª holds B.C. manÛªs computer files hostage: A virus locked Andrew Wilson's family photos and otherÛ_ http://t.co/aQbLjComlN,0,1
Family mourns drowning of 'superhero' toddler with rare epilepsy: Bradley Diebold suffered hundreds of epilepticÛ_ http://t.co/unsayJDTu7,0,1
@tremblayeh we like big hail and we cannot lie!! #SirMixAlot,0,1
Angry Woman Openly Accuses NEMA Of Stealing Relief Materials Meant For IDPs: An angry Internally Displaced wom... http://t.co/TEq7SrI57P,1,0
@Drsarwatzaib070 come on. IK will face MCourt for attacking parliment and hijacking TV station.,1,0
Cell Phone Shop : http://t.co/iOq051t5te #629 8-Pin Lightning Connector 2.1A Car Charger For Apple 5 5S 5C 6 6+ iÛ_ http://t.co/klxAUcNP5I,1,0
"'Up to 40% of businesses affected by a natural or man-made disaster never reopen'
http://t.co/35JyAp0ul9",0,1
driving the avalanche after having my car for a week is like driving a tank,1,0
Trafford Centre film fans angry after Odeon cinema evacuated following false fire alarm   http://t.co/6GLDwx71DA,0,1
OH MY GOD RYANS IN TROUBLE http://t.co/ADIp0UnXHU,1,0
Reasons I should have gone to Warped today: tony played issues showed up sleeping w sirens played attila is there issues issues issues,1,0
@AlexAllTimeLow awwww they're on an airplane accident and they're gonna die what a cuties ???? good job!,1,0
Global Nuclear Reactor Construction Market grew 4.5% between 2013 and 2014 http://t.co/74JppeK6o7,1,0
Look for my Policy Matters Ohio report on #CLE and Cuyahoga County blight and greening vacant lands soon!  https://t.co/if62SdXVp7,0,1
Bestie is making me watch texas chainsaw massacre ????????,1,0
#Tweet4Taiji is a dolphin worship group based on superstitions! Just take a look at their tweets!,1,0
Hey the #Royals love doing damage with 2 outs.,1,0
#World #News Qld police wrap Billy Gordon investigation: QUEENSLAND Police have wrapped up their investigation...  http://t.co/msgnNDxOeK,1,0
square just let booty org write xv im sure we'd do just fine (buildings around me set on fire),0,1
@MichaelWestBiz standard damage control,1,0
Rightways: Building structural integrity &amp; failure: problems inspections  repair http://t.co/vz1irH0Nmm via @rightwaystan,0,1
@SarniamakChris @Hromadske @kasiadear33  how silly that one of only two countries that can destroy the world has a say about world security,1,0
Some crazy lightning outside,0,1
Dorman 917-033 Ignition Knock (Detonation) Sensor Connector http://t.co/WxCes39ZTe http://t.co/PyGKSSSCFR,1,0
@OriginalFunko @Spencers THUNDER BUDDYS!!!! THUNDER BUDDYS!!!!,1,0
@FNAF_TalkMC *stands there engulfed in the fire smiling*,0,1
daviesmutia: Breaking news! Unconfirmed! I just heard a loud bang nearby. in what appears to be a blast of wind from my neighbour's ass.,1,0
...don't think I've ever been this close to a mental explosion in so long,0,1
Keep shape your shoes ??#Amazon #foot #adjust #shape #shoe Mini Shoe Tree Stretcher Shaper Width Extender Adjustable http://t.co/8cPcz2xoHb,1,0
@Zojadelin you literally almost had a head on collision with us today on pilot knob,1,0
@eggalie haha I love hurricane because of you,0,1
@fotofill It looks so desolate. End of the world stuff. Gorgeous.,0,1
Remove the http://t.co/VbqmZ5aPwj and Linkury Browser Hijacker http://t.co/C2EyjNyBfN http://t.co/gt7gf0fSeX,1,0
Deliver Value: A Cash Source Crash Course http://t.co/st5fGBLsYe #course http://t.co/0uK0H9hOzn,1,0
"-??-
; kitana
? her fatalities slay me
ÛÓkody? (Vine by @KOMBATFANS33) https://t.co/uMajwSNLUF",1,0
@dmassa5 Definite triple crown threat. Him and Harper both.,1,0
Listening to Blowers and Tuffers on the Aussie batting collapse at Trent Bridge reminds me why I love @bbctms! Wonderful stuff! #ENGvAUS,0,1
Let's say a tree falls on your fence. Do you know how your homeowners insurance may help? http://t.co/VLaIuvToMM http://t.co/AJpnEBG803,0,1
#360WiseNews : China's Stock Market Crash: Are There Gems In The Rubble? http://t.co/aOd2ftBMGU,1,0
@SoonerMagic_ I mean I'm a fan but I don't need a girl sounding off like a damn siren,1,0
Is it bad to say that I'm kinda afraid of storms and we are in a storm???? help,1,0
@ScotRail i be seen them turn a blind eye to a bloke drinking and smoking on during the curfew time cos'its not worth the hassle',1,0
This is set to become a huge one month wonder. (And then Pornhub will be inundated....) http://t.co/gghfx8PzMh,1,0
Dr. Jim &amp; the tsunami: The latest New Yorker warned us in no uncertain terms. Haven't you heard? The tsunami's... http://t.co/1RrEO2jG9u,0,1
CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1,0
"Truth...
https://t.co/p5ZIcjUdXO
#News
#BBC
#CNN
#Islam
#Truth
#god
#ISIS
#terrorism
#Quran
#Lies http://t.co/kZhB8zX6YC",1,0
Stream HYPE HURRICANE,0,1
@CalFreedomMom @steph93065 not to mention a major contributor to the annihilation of Israel,1,0
@atljw @cnnbrk fine line btw mass murderer and terrorist. Yes we don't know if there's polit. or social aspect yet; however he went to a,0,1
When your body's like 'go to fuck to sleep Sami' and your mind's like 'make an emergency plan for every natural disaster GO',1,0
Think Akwa Ibom!: DonÛªt come to Uruan and demolish buildings again ex-Assembly member warns Udom Emmanuel  http://t.co/1cnw6NSka5,0,1
I-10 EB at MS line update: Offloading the hazardous material is going much slower than expected. Road could stay closed until tomorrow AM.,1,0
Leicester_Merc : ICYMI - #Ashes 2015: Australia collapse at Trent Bridge - how Twitter reaÛ_ http://t.co/HqeWMREysO) http://t.co/y4y8fclJED,0,1
"Conditions for Paris FR at 4:00 am CEST: Current Conditions:
Fair 68 FForecast:
Thu - Sunny. High: 87 Low: 61
Fri - PM Thunderstorm...",0,1
Shadow boxing the apocalypse,1,0
Fylde Building set to be flattened: One of PrestonÛªs city centre iconic buildings is disappearing from the skyline. http://t.co/PdKHBdG9hO,0,1
After all that time Riot should really make an official Satan Teemo skin http://t.co/TYtPBC4GWi,0,1
Why are you deluged with low self-image? Take the quiz: http://t.co/XsPqdOrIqj http://t.co/CQYvFR4UCy,1,0
Back on the beach after the deluge.  Surf camp in motion.  Our Surf Therapy programme kicked off today for... http://t.co/vjsAqPxngN,1,0
"Update: I survived. No canoe. 

May have been the fastest feed out in history though.",1,0
"MEGALPOLIS Area Petting Party Shiver 
Fear Instant .... GLOBAL Inundation OVERFLOW
WAS Commencement WRITE ?? ?",0,1
Cyclists it is pandemonium on the roads today. Drive carefully!,0,1
1st wk of Rainier Diet and my street Seward Park Ave is inundated w/ bypass traffic so @seattledot what's your plan? @seattletimes,0,1
WIN: Lisowski whitewashes the Whirlwind 5-0 in round 2 of Shanghai Masters Quals! |  http://t.co/MLigPUHVOh #snooker http://t.co/TcS2Cd5y6y,1,0
China detains seven Christians trying to protect their church's cross from demolition http://t.co/XuUB2HBlI5 http://t.co/h5EPx2D1ga,0,1
I can't believe Blevins got injured falling off a curb. That's something that would happen to me never it expected for a pro player,1,0
Ever since Kelly's burned I keep having dreams about being inside burning buildings ??,0,1
Private thirsty night?SAD BLOOD ROCK'N ROLL? #??,1,0
Philadelphia EaglesÛª Jordan Matthews Is Going To Explode In 2015 http://t.co/rRq1ildkiL #news #hotnewscake,0,1
#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/gexHzU1VK8 #prebreak #best,0,1
that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0,1
Breast milk is the original #superfood but rates worldwide have stalled below 40% contributing to more than 800000 child deaths last year.,0,1
@HopefulBatgirl went down I was beaten and blown up. Then next thing I know Ra Al Ghul brought me back to life and I escaped and for a---,1,0
He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0,1
The latest from @BryanSinger reveals #Storm is a queen in #Apocalypse @RuPaul @AlexShipppp http://t.co/oQw8Jx6rTs,1,0
The Burning Legion has RETURNED!  https://t.co/hKsbmijqZ1,0,1
New post: 'China's Stock Market Crash: Are There Gems In The Rubble?' http://t.co/6CaDRhIOxp,0,1
U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/SB5R7ShcCJ via @Change,1,0
@elielcruz just watching the streams was bad - I don't think I could actually walk in there I'd panic and get sick,1,0
If abortion is murder then blowjobs are cannibalism and masturbation is mass genocide.,1,0
#hot  Funtenna: hijacking computers to send data as sound waves [Black Hat 2015] http://t.co/s4PNIhJQX7 #prebreak #best,0,1
Set our hearts ablaze and every city was a gift And every skyline was like a kiss upon the lips @Û_ https://t.co/cYoMPZ1A0Z,0,1
Gonna call up tomorrow with the aul 'emergency dental appointment' excuse just like the whole tooth falling out incident of last year,1,0
Detonation fashionable mountaineering electronic watch water-resistant couples leisure tabÛ_ http://t.co/7dYOgLhMRe http://t.co/HKm3rtD4ZF,1,0
@kemal_atlay caught in a landslide,1,0
@CarlaChamorros HILLARY A MASS MURDERER.,0,1
Contruction upgrading ferries to earthquake standards in Vashon Mukilteo: The upgrades will bring the vulnera... http://t.co/Au5jWGT0ar,1,0
Looks like a perfect storm-free evening coming up.  Check out the outdoor happenings featured at http://t.co/hUzrHgmkSY #EventsPalmBeach.,1,0
The last time a high profile name was due to be signing for #nffc the City was rioting! Wesley Verhoek now a household name! #don'tpanic,1,0
Michael talking about when he was electrocuted omg #ROWYSOLouisville http://t.co/HxVfmoUhDM,1,0
Stop the Annihilation of the Salt River Wild Horses! http://t.co/wVobVVtXKg via @Change,1,0
"Worked in factory pressing designs onto T-shirts was electrocuted 
d/t faulty ground. Boss docked my pay while I was at ER #WorstSummerJob",1,0
#DebateQuestionsWeWantToHear If U start another war would U B willing 2 go 2 the war-zone yourself or send UR sons and/or daughters 2 fight?,1,0
@_301DC @Cloudy_goldrush i hate white people mo,1,0
"This is the natural and unavoidable consequence of socialism everywhere it has been tried.
http://t.co/BbDpnj8XSx E",0,1
Falling asleep to the sounds to thousands of River Plate fans in the stadium and a thunderstorm. #VivaArgentina,0,1
What's the police or ambulance number in Lesotho? Any body know?,0,1
IJ: Texas Seeks Comment on Rules for Changes to Windstorm Insurer http://t.co/h132iuL7MU,1,0
@RachelRofe tired it' 5:36 am. Woke up to a thunderstorm lightning and rain. How are you?,0,1
Postal Service agrees to sell not demolish downtown building http://t.co/7mEpKbF9E8,0,1
@lucysforsale funny cause my dumb ass was the young one to get n trouble the most lol,1,0
"Simmering beneath #NHL good times the league's own concussion issues @PioneerPress

http://t.co/zl7FhUCxHL",0,1
Economic Collapse Investing: Specific actions and strategies to securing lasting wealth from the financial blowout. http://t.co/JZwRisXEPF,1,0
Still rioting in a couple of hours left until I have to be up for class.,1,0
@crobscarla your lifetime odds of dying from an airplane accident are 1 in 8015.,0,1
you can stab me in the back but I promise you'll be the one bleeding,1,0
#Vegetarian #Vegan Video shows arsonist torching popular BK restaurant Strictly Vegetarian... http://t.co/kxpLYoM9RR #GoVegan #UniteBlue,0,1
Petition | Heartless owner that whipped horse until it collapsed is told he can KEEP his animal! Act Now! http://t.co/87eFCBIczM,1,0
Radiation emergency #preparedness starts with knowing to: get inside stay inside and stay tuned http://t.co/RFFPqBAz2F via @CDCgov,1,0
Such beautiful architecture in #NYC I love those fire escape routes on the buildings. #newyorkÛ_ https://t.co/fW1PtaElgV,1,0
@heebsterrr_ I remember the heat wave the year I went bruh and they don't have AC ????,0,1
@eyecuts @Erasuterism I love 96 Gal Deco to death even if it's a bit trickier to be great with. Glad more weapons are getting Splash Wall,1,0
#Islamic #state issue a new holiday #brochure lovely swimming pool for drowning in shooting range and the downside it costs a #bomb,0,1
Rise up like a natural disaster we take the bat and then we take back the town????,0,1
Orchid - Sign Of The Witch http://t.co/YtkXwPyIHg,0,1
@lexi_purduee the volcano by it ??????,0,1
Enugu Government to demolish illegal structures at International Conference Centre http://t.co/ouYLwuIXcs,1,0
Shed innocent blood of their sons and daughters and the land was polluted Psalms 106:38  Help stop the sin of abortion.,0,1
Another hour! It's August 05 2015 at 08:02PM Here's Red Rover Zombie Apocalypse 2014! http://t.co/cf9e6TU3g7 #internetradio #collegeradiÛ_,1,0
Holy moly that was crushed.,1,0
"Violent Forces Radio: Now Playing Agony - Storm of the apocalypse
TuneIn Player @ http://t.co/XsSgEdSbH4",0,1
#360WiseNews : China's Stock Market Crash: Are There Gems In The Rubble? http://t.co/9Naw3QOQOL,1,0
Nearly 35 years after their release from captivity legislation is being introduced in Congress to compensate 53Û_ http://t.co/NCjLXzFWaa,0,1
@Live_Workshop selfie at booth or riot Kappa,1,0
#frontpage: #Bioterror lab faced secret sanctions. #RickPerry doesn't make the cut for @FoxNews #GOPDebate http://t.co/fZujg7sXJg @USATODAY,0,1
53 years ago this week is the anniversary of Marilyn Monroe's death RIPRIPRIP,0,1
@MeyerBjoern @thelonevirologi @MackayIM of a major American newspaper running a series on all the alleged bioterrorism research going on 2/n,1,0
#Borrowers concerned at possible #interest rate rise. This could be a #catastrophe http://t.co/SBHHkkz01Y,0,1
Only one commodity has escaped the total collapse in prices http://t.co/4HngTKDQMv #business,0,1
MT @Earths_Voice Treatment of #tigers in #China is appalling: electrocuted in front of businessmen &amp; eaten http://t.co/JlWhaOwFQA #SaveTi...,1,0
I liked a @YouTube video http://t.co/V57NUgmGKT US CANADA RADIATION UPDATE EMERGENCY FISHING CLOSURES,1,0
America like South Africa is a traumatised sick country - in different ways of course - but still messed up.,0,1
#Cowboys: Wednesday's injury report: RB Lance Dunbar injures ankle is listed as day-to-day:  http://t.co/RkB7EgKveb,0,1
He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0,1
.@dantwitty52 shuts the door on the Boom in the bottom half. #Lightning coming up in the top of the eighth.,0,1
Crack in the path where I wiped out this morning during beach run. Surface wounds on left elbow and right knee. http://t.co/yaqRSximph,0,1
Four hundred wrecked cars (costing $100 apiece) were purchased for the making of this 1986 film - http://t.co/DTdidinQyF,0,1
The second part which focuses on the survivors is really difficult to watch but at the same time is really powerful.,1,0
When Houston and NYC collide. ?? @pageparkescorp @chloeunguyen @laurensicle @charstevens97 @tiara_marei #gemma #boweÛ_ http://t.co/9wowPs78VD,1,0
CHPSRE: RT: Refugees: For our followers in Paris do visit 'A Dream of Humanity' exhibition by rezaphotography Û_ Û_ http://t.co/RPmTROPsVr,1,0
Megadeth Week - Symphony Of Destruction http://t.co/ECd7HiZja1,0,1
I added a video to a @YouTube playlist http://t.co/bcjYleRRYX Ori and the Bind forest ep 6 'Fire and death',1,0
beforeitsnews : Global Derivatives: $1.5 Quadrillion Time Bomb http://t.co/GhmmUj7GbE (vÛ_ http://t.co/u9LvvLzhYe) http://t.co/LyJ57pq3yX,0,1
@weathernetwork here comes the hail!,1,0
This just-married Turkish couple gave 4000 Syrian refugees an incredible gift #WashingtonPost http://t.co/aRKmc7vclN,1,0
#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,0,1
Can't watch PVRIS I'm so sad bc it collided with another set,1,0
Some older Native Australians believe that the oceans were created from the urine of an angry god who tried to drown the world.,0,1
A diamond is just a piece of charcoal that handled stress exceptionally well. We are hard pressed on every side but not crushed.2 cor4:8,1,0
@SW_Trains strange loud impact bang noises under train to Epsom about to arrive #Wimbledon,0,1
I just added 'Sandy First Responders Lost Their Homes' to VIP Home Page Group on @Vimeo: https://t.co/lKXi6UXjaQ,1,0
